1.6652e+05,0,21,64,6,12,9,3,2,9,6,3,3,9,3,25,25,12,3,12,12
1.2965e+05,0,28,15,3,2,14,13,1,12,3,23,18,9,15,11,3,2,3,15,18
6582,0,15,15,12,17,18,15,12,18,18,18,18,15,12,12,15,18,18,12,17
1.5382e+05,0,9,3,15,14,2,13,1,12,3,18,15,3,2,14,3,14,15,2,1
94051,0,9,64,6,12,17,2,15,3,2,14,13,1,12,3,28,26,23,10,18
1.9816e+05,0,12,3,1,13,12,9,2,15,3,2,14,13,12,3,27,18,15,14,18
1.366e+05,0,15,3,12,64,3,15,18,12,3,23,18,15,3,2,18,12,15,15,3
1.6262e+05,0,23,3,3,14,15,2,18,1,12,3,27,23,15,12,18,18,21,12,15
1.639e+05,0,15,15,2,15,2,2,15,15,15,15,15,15,15,15,15,15,15,15,15
1.7873e+05,0,12,64,36,36,21,14,20,24,20,24,20,24,24,20,20,24,20,24,20
25648,0,2,2,2,13,2,2,2,2,2,18,15,12,2,2,18,2,2,2,2
71008,0,2,18,6,3,3,18,12,15,18,12,15,6,3,9,21,8,9,8,15
2.0225e+05,0,8,2,9,64,18,12,15,12,15,18,12,15,18,18,12,15,12,15,18
48291,0,2,64,6,64,6,3,2,15,14,1,21,12,3,28,26,23,12,18,9
1.4889e+05,0,19,3,15,2,14,18,18,15,11,3,14,15,13,12,3,27,26,23,12
4670,0,36,9,13,12,9,3,14,2,13,1,12,3,27,12,9,3,23,18,15
1.5464e+05,0,21,3,17,12,21,9,12,9,1,12,9,12,9,9,3,9,12,9,9
98348,0,12,3,9,12,64,2,18,21,3,15,2,21,13,15,3,2,21,12,3
596,1,13,9,64,18,6,1,9,18,12,9,12,21,18,15,8,15,6,3,15
99291,0,13,64,6,13,12,3,26,5,64,6,15,2,3,14,13,12,18,15,19
94496,0,9,18,3,3,3,80,15,15,3,2,14,14,18,18,13,1,12,12,9
39059,1,9,9,3,12,9,12,9,3,15,12,12,12,9,3,9,21,1,9,12
